5.36589, latitude, -71.148, longitude, -1.66443
6.09245, latitude, -72.1375, longitude, -1.6646
7.75391, latitude, -72.9865, longitude, -1.6646
9.83984, latitude, -73.8436, longitude, -1.66426
9.70703, latitude, -74.6825, longitude, -1.66457
9.24609, latitude, -75.5177, longitude, -1.66435
8.39714, latitude, -76.5094, longitude, -1.66461
6.79557, latitude, -77.3513, longitude, -1.66436
5.54167, latitude, -78.192, longitude, -1.66447
3.5026, latitude, -79.0363, longitude, -1.66465
1.41667, latitude, -80.013, longitude, -1.66411
0.31901, latitude, -80.85, longitude, -1.66442
0.0260417, latitude, -81.6853, longitude, -1.66447
0, latitude, -82.5299, longitude, -1.66425
0, latitude, -83.5124, longitude, -1.6643
0, latitude, -85.3907, longitude, -1.66413
0, latitude, -86.2498, longitude, -1.66418
0, latitude, -87.2352, longitude, -1.66441
0, latitude, -87.5128, longitude, -2.05377
0, latitude, -87.5127, longitude, -2.95663
0, latitude, -86.9525, longitude, -3.21665
0, latitude, -86.1046, longitude, -3.21666
0, latitude, -85.1161, longitude, -3.21692
0, latitude, -84.3989, longitude, -3.21667
0, latitude, -83.4244, longitude, -3.21659
0.0507812, latitude, -82.5588, longitude, -3.21694
0.480469, latitude, -81.7023, longitude, -3.2166
1.82422, latitude, -80.8429, longitude, -3.21672
3.94141, latitude, -79.8567, longitude, -3.21697
5.71615, latitude, -79.1569, longitude, -3.2168
7.40104, latitude, -78.1649, longitude, -3.21641
9.00391, latitude, -77.2982, longitude, -3.21675
9.55599, latitude, -76.4394, longitude, -3.21642
10.0846, latitude, -75.5903, longitude, -3.21669
9.85286, latitude, -74.6012, longitude, -3.2169
7.60417, latitude, -73.8949, longitude, -3.21688
5.71875, latitude, -73.0427, longitude, -3.21658
4.23177, latitude, -71.914, longitude, -3.21685
2.4987, latitude, -71.0579, longitude, -3.21698
1.26693, latitude, -70.2053, longitude, -3.21691
0.739583, latitude, -69.3245, longitude, -3.21671
0.721354, latitude, -68.5665, longitude, -3.21661
0.677083, latitude, -67.781, longitude, -3.21671
0.190104, latitude, -66.7234, longitude, -3.21673
0.170573, latitude, -65.8431, longitude, -3.21675
0, latitude, -64.9511, longitude, -3.21656
0, latitude, -64.052, longitude, -3.21662
